condition,sampler,steps,env_seed,sampling_seed,episode_max_reward,max_steps,checkpoint_origin,eval_log
DDIM_50,DDIM,50,100000,0,1.0,300,self_trained,DDIM_50\sampling_seed_0\env_seed_100000\eval_log.json
DDIM_50,DDIM,50,100001,0,1.0,300,self_trained,DDIM_50\sampling_seed_0\env_seed_100001\eval_log.json
DDIM_50,DDIM,50,100002,0,0.9987909845904174,300,self_trained,DDIM_50\sampling_seed_0\env_seed_100002\eval_log.json
DDIM_50,DDIM,50,100003,0,1.0,300,self_trained,DDIM_50\sampling_seed_0\env_seed_100003\eval_log.json
DDIM_50,DDIM,50,100004,0,1.0,300,self_trained,DDIM_50\sampling_seed_0\env_seed_100004\eval_log.json
DDIM_50,DDIM,50,100000,1,1.0,300,self_trained,DDIM_50\sampling_seed_1\env_seed_100000\eval_log.json
DDIM_50,DDIM,50,100001,1,1.0,300,self_trained,DDIM_50\sampling_seed_1\env_seed_100001\eval_log.json
DDIM_50,DDIM,50,100002,1,0.9717969082661688,300,self_trained,DDIM_50\sampling_seed_1\env_seed_100002\eval_log.json
DDIM_50,DDIM,50,100003,1,1.0,300,self_trained,DDIM_50\sampling_seed_1\env_seed_100003\eval_log.json
DDIM_50,DDIM,50,100004,1,1.0,300,self_trained,DDIM_50\sampling_seed_1\env_seed_100004\eval_log.json
DDIM_50,DDIM,50,100000,2,1.0,300,self_trained,DDIM_50\sampling_seed_2\env_seed_100000\eval_log.json
DDIM_50,DDIM,50,100001,2,1.0,300,self_trained,DDIM_50\sampling_seed_2\env_seed_100001\eval_log.json
DDIM_50,DDIM,50,100002,2,0.9920669172017494,300,self_trained,DDIM_50\sampling_seed_2\env_seed_100002\eval_log.json
DDIM_50,DDIM,50,100003,2,0.9738261965877201,300,self_trained,DDIM_50\sampling_seed_2\env_seed_100003\eval_log.json
DDIM_50,DDIM,50,100004,2,1.0,300,self_trained,DDIM_50\sampling_seed_2\env_seed_100004\eval_log.json
DDPM_100,DDPM,100,100000,0,1.0,300,self_trained,DDPM_100\sampling_seed_0\env_seed_100000\eval_log.json
DDPM_100,DDPM,100,100001,0,1.0,300,self_trained,DDPM_100\sampling_seed_0\env_seed_100001\eval_log.json
DDPM_100,DDPM,100,100002,0,0.9646883960482627,300,self_trained,DDPM_100\sampling_seed_0\env_seed_100002\eval_log.json
DDPM_100,DDPM,100,100003,0,0.1788181956826869,300,self_trained,DDPM_100\sampling_seed_0\env_seed_100003\eval_log.json
DDPM_100,DDPM,100,100004,0,1.0,300,self_trained,DDPM_100\sampling_seed_0\env_seed_100004\eval_log.json
DDPM_100,DDPM,100,100000,1,0.9977324760952001,300,self_trained,DDPM_100\sampling_seed_1\env_seed_100000\eval_log.json
DDPM_100,DDPM,100,100001,1,0.9357318749772,300,self_trained,DDPM_100\sampling_seed_1\env_seed_100001\eval_log.json
