condition,sampler,steps,repeat,policy_ms
DDIM_50,DDIM,50,0,556.8217000000004
DDIM_50,DDIM,50,1,559.7434999999678
DDIM_50,DDIM,50,2,550.7695999999669
DDIM_50,DDIM,50,3,555.7843000000275
DDIM_50,DDIM,50,4,560.3702000000226
DDIM_50,DDIM,50,5,567.5123000000326
DDIM_50,DDIM,50,6,562.1214000000236
DDIM_50,DDIM,50,7,554.196300000001
DDIM_50,DDIM,50,8,555.4333999999699
DDIM_50,DDIM,50,9,554.6783000000346
DDIM_50,DDIM,50,10,558.7800000000129
DDIM_50,DDIM,50,11,554.9591999999848
DDIM_50,DDIM,50,12,557.1802000000048
DDIM_50,DDIM,50,13,556.012399999986
DDIM_50,DDIM,50,14,560.1012999999853
DDIM_50,DDIM,50,15,562.5317000000223
DDIM_50,DDIM,50,16,557.0629000000054
DDIM_50,DDIM,50,17,574.315600000034
DDIM_50,DDIM,50,18,556.9355999999743
DDIM_50,DDIM,50,19,557.2634000000107
DDPM_100,DDPM,100,0,1487.1256999999787
DDPM_100,DDPM,100,1,1398.6600999999155
DDPM_100,DDPM,100,2,1490.4791999999816
DDPM_100,DDPM,100,3,1445.1301000000285
DDPM_100,DDPM,100,4,1476.1416000000054
DDPM_100,DDPM,100,5,1425.3360999999813
DDPM_100,DDPM,100,6,1450.4399999999578
DDPM_100,DDPM,100,7,1436.974100000043
DDPM_100,DDPM,100,8,1473.8628000000062
DDPM_100,DDPM,100,9,1415.1734999999235
DDPM_100,DDPM,100,10,1475.3418999999894
DDPM_100,DDPM,100,11,1440.4226000000335
DDPM_100,DDPM,100,12,1481.7275000000336
DDPM_100,DDPM,100,13,1441.8921999999839
DDPM_100,DDPM,100,14,1485.7494000000315
DDPM_100,DDPM,100,15,1419.22210000007
DDPM_100,DDPM,100,16,1461.0731000000214
DDPM_100,DDPM,100,17,1476.621600000044
DDPM_100,DDPM,100,18,1478.468199999952
DDPM_100,DDPM,100,19,1456.3635999999178
DDIM_10,DDIM,10,0,123.84459999998398
DDIM_10,DDIM,10,1,124.2970000000696
DDIM_10,DDIM,10,2,124.4461000001138
DDIM_10,DDIM,10,3,127.71010000005845
DDIM_10,DDIM,10,4,125.16130000017256
DDIM_10,DDIM,10,5,118.77599999979793
DDIM_10,DDIM,10,6,117.45799999994233
DDIM_10,DDIM,10,7,115.09030000001985
DDIM_10,DDIM,10,8,123.2167999999092
DDIM_10,DDIM,10,9,116.92979999997988
DDIM_10,DDIM,10,10,113.58130000007804
DDIM_10,DDIM,10,11,110.73660000010932
DDIM_10,DDIM,10,12,111.41689999999471
DDIM_10,DDIM,10,13,112.85589999988588
DDIM_10,DDIM,10,14,111.16760000004433
DDIM_10,DDIM,10,15,115.48990000005688
DDIM_10,DDIM,10,16,112.24569999990308
DDIM_10,DDIM,10,17,111.64609999991626
DDIM_10,DDIM,10,18,117.86170000004859
DDIM_10,DDIM,10,19,112.27329999996982
DDIM_20,DDIM,20,0,261.14319999987856
DDIM_20,DDIM,20,1,242.4837999999454
DDIM_20,DDIM,20,2,228.22049999990668
DDIM_20,DDIM,20,3,238.1902000001901
DDIM_20,DDIM,20,4,237.46929999992972
DDIM_20,DDIM,20,5,232.14429999984532
DDIM_20,DDIM,20,6,239.18479999997544
DDIM_20,DDIM,20,7,223.44029999999293
DDIM_20,DDIM,20,8,226.3762999998562
DDIM_20,DDIM,20,9,229.912000000013
DDIM_20,DDIM,20,10,227.88340000010976
DDIM_20,DDIM,20,11,231.7476999999144
DDIM_20,DDIM,20,12,233.10060000017074
DDIM_20,DDIM,20,13,232.2850999998991
DDIM_20,DDIM,20,14,226.4208999999937
DDIM_20,DDIM,20,15,226.4632999999776
DDIM_20,DDIM,20,16,231.16349999986596
DDIM_20,DDIM,20,17,231.49630000011712
DDIM_20,DDIM,20,18,233.17010000005212
DDIM_20,DDIM,20,19,234.65029999988474
DDIM_100,DDIM,100,0,1115.7427999999072
DDIM_100,DDIM,100,1,1114.8522999999386
DDIM_100,DDIM,100,2,1111.61560000005
DDIM_100,DDIM,100,3,1116.8006000000332
DDIM_100,DDIM,100,4,1126.8730000001597
DDIM_100,DDIM,100,5,1114.4756999999572
DDIM_100,DDIM,100,6,1111.7741000000478
DDIM_100,DDIM,100,7,1111.2096000001657
DDIM_100,DDIM,100,8,1122.5918999998612
DDIM_100,DDIM,100,9,1104.593100000102
DDIM_100,DDIM,100,10,1115.2153000000453
DDIM_100,DDIM,100,11,1112.6768999999967
DDIM_100,DDIM,100,12,1116.4238999999725
DDIM_100,DDIM,100,13,1114.6384000001035
DDIM_100,DDIM,100,14,1120.862200000147
DDIM_100,DDIM,100,15,1148.8458999999693
DDIM_100,DDIM,100,16,1146.8594999998913
DDIM_100,DDIM,100,17,1152.7125999998589
DDIM_100,DDIM,100,18,1165.2811999999813
DDIM_100,DDIM,100,19,1129.6539000002213
